rok	pořadí	jméno	žokej	překážka	zranění	smrt
1986	SN	POLLY EXPRES	Zajko Karel			
1986	1	VALENCIO 	Novák Antonín			
1986	ZN	ŽELEZNÍK 	Hytych Pavel			
1985	6	BORG 	Kasajev Chusej			
1985	4	ELDA 	Chludějev Nikolaj			
1985	ZN	EROT 	Chaloupka Václav			
1985	Z	ESSEX 	Vozáb Petr			
1985	1	FESTIVAL 	Štohanzl Jaromír			
1985	Z	JAWAN 	Ševljakov J.			
1985	PN	PANSIONAT 	Váňa Josef			
1985	2	PARAMON 	Kuchovský Kamil			
1985	3	SANTOS 	Michal Jaroslav			
1985	5	VEMÍN 	Novák Antonín			
1985	Z	ŽELEZNÍK 	Juhász Vendelín			
1984	PN	BLISTR 	Valkony Pavel			
1984	PN	BOLID 	Zajko Karel			
1984	ZN	BORG 	Kuchovský Kamil			
1984	PN	DUKÁT 	Olejnicki J.			
1984	PN	EMANUEL 	Chludějev Nikolaj			
1984	1	EROT 	Vozáb Petr			
1984	2	FESTIVAL 	Kasajev Chusej			
1984	PN	FUTBOL 	Amelčenko Nikolaj			
1984	4	GABR 	Štohanzl Jaromír			
1984	3	JAWAN 	Zazin A.			
1984	Z	KAPELLAN 	Kantek Miroslav			
1984	ZN	LINGUA 	Havlíček Jan			
1984	PN	LYSANDER 	Bartoš Josef			
1984	PN	POLLY EXPRES	Zajíček Jaroslav			
1984	PN	URSUS 	Vašút Jiří			
1984	PN	VALENCIO 	Tokov Mahmud			
1983	10	ALGIR 	Chaloupka Václav			
1983	PN	AZAT 	Goring George			
1983	8	BEGINAGIN 	Vlček Milan			
1983	Z	BORG 	Škopek Josef			
1983	6	DUKÁT 	Chludějev Nikolaj			
1983	3	EROT 	Vozáb Petr			
1983	7	FESTIVAL 	Kantek Petr			
1983	Z	FLANG 	Saunders George			
1983	PN	FRENCH POP	Štohanzl Jaromír			
1983	2	JAWAN 	Kasajev Chusej			
1983	Z	KAPELLAN 	Püspöky Jaroslav			
1983	Z	KLOTILD 	Vinklárek Vladimír			
1983	PN	LAMPAS 	Kantek Miroslav			
1983	SN	LINGUA 	Kuchovský Kamil			
1983	5	MADIA 	Bartoš Josef			
1983	4	POLLY EXPRES	Liebich Pavel			
1983	1	SAGAR 	Hála Josef			
1983	Z	VEMJAN 	Roberts Michael			
1983	9	WELLS FARGO	Ševčenko N.			
1982	PN	AGABA 	Tokov Mahmud			
1982	PN	ALGIR 	Vozáb Petr			
1982	Z	AMBROZIJA 	Zajíček Jaroslav			
1982	Z	BOMBAY 	Havlíček Jan			
1982	ZN	CONTINENTAL 	Blábolil Jaroslav			
1982	PN	ČAHUŇA 	Verovkin V.			
1982	Z	DIAF 	Zajíček Miroslav			
1982	Z	FLANG 	Baráček Pavel			
1982	6	FLORET 	Štencl Libor			
1982	Z	GUSYRA 	Kasal Jiří			
1982	PN	HANAČKA 	Štohanzl Jaromír			
1982	5	JAMAHA 	Vít Karel			
1982	PN	KLOTILD 	Vinklárek Vladimír			
1982	SN	LAMPAS 	Valkony Pavel			
1982	Z	MANGALIA 	Hytych Pavel			
1982	PN	MONZA 	Kasajev Chusej			
1982	3	NABOR 	Břečka Josef			
1982	4	ÓDA 	Saunders George			
1982	PN	PAHANG	Bartoš Josef			
1982	PN	POLLY EXPRES	Liebich Pavel			
1982	1	SAGAR 	Vogel A.			
1982	PN	SZEPITÖ 	Chludějev Nikolaj			
1982	2	VĚK 	Hála Josef			
1982	Z	VEMJAN 	Zlatník Josef			
1982	PN	VERNE 	Tokov Mahmud			
1981	PN	AGABA 	Štohanzl Jaromír			
1981	PN	ARTEMIS 	Chaloupka Václav			
1981	PN	AZAT 	Franko Jozef			
1981	PN	BUSINKA 	Šafář Jaromír			
1981	3	CONTINENTAL 	Kasajev Chusej			
1981	2	DIAF 	Plaček Miloslav			
1981	Z	DOLAR 	Vašút Jiří			
1981	PN	DON II	Baráček Pavel			
1981	4	FLORET 	Mack Pavel			
1981	Z	FORMA 	Štencl Libor			
1981	Z	GUSYRA 	Suchovský Otto			
1981	PN	KLOTILD 	Vinklárek Vladimír			
1981	SN	LAMPAS 	Hurt Jiří			
1981	ZN	LANCASTER 	Zobal František			
1981	5	LIMIT 	Milev Nedělko			
1981	Z	MIRABEL 	Šenkyřík Milan			
1981	PN	MONZA 	Břečka Josef			
1981	6	ÓDA 	Liebich Pavel			
1981	1	SAGAR 	Knápek Vlastimil			
1981	SN	SIMON 	Chaloupka Jiří			
1981	PN	ZÁBOJ 	Jančár Jiří			
1981	PN	ŽITOMÍR 	Pekný Vladislav			
1980	ZN	ARTEMIS 	Šafář Jaromír			
1980	4	CONTINENTAL 	Bambuch Rostislav			
1980	8	DON II	Vogel A.			
1980	Z	ENARA 	Baráček Pavel			
1980	PN	FLORET 	Liebich Pavel			
1980	S	LAHIRE 	Vinklárek Vladimír			
1980	PN	LAMPAS 	Kasal Jiří			
1980	2	LANCASTER 	Grassl František			
1980	Z	LILAC 	Püspöky Jaroslav			
1980	PN	LIMINA 	Zobal František			
1980	3	LIMIT 	Hurt Jiří			
1980	7	LIPPIZA 	Palička Jan			
1980	PN	MALACHIT 	Chaloupka Václav			
1980	9	MONZA 	Milev Nedělko			
1980	5	NOMER 	Břečka Josef			
1980	D10	ÓDA 	Kapusňák Jaroslav			
1980	PN	RAŠÍD 	Knápek Vlastimil			
1980	1	SIMON 	Chaloupka Jiří			
1980	ZN	TICIÁN 	Beránek Stanislav			
1980	6	VAT 	Zlatník Josef			
1980	PN	VERNE 	Palička Jan			
1979	6	ALBION 	Cekov Dimitr			
1979	PN	ALENA 	Matejdes Michal			
1979	PN	ANILIN 	Borusík Vladimír			
1979	PN	CONTINENTAL 	Gassmann Rolf			
1979	SN	DESPOTA 	Baráček Pavel			
1979	4	FLORET 	Vinklárek Vladimír			
1979	5	LAMPAS 	Kasal Jiří			
1979	3	LANCASTER 	Chaloupka Jiří			
1979	1	LEGENDA 	Zobal František			
1979	2	LIMIT 	Milev Nedělko			
1979	7	MAVR 	Zdobina Jiří			
1979	PN	NUGET 	Liebich Pavel			
1979	PN	PUNČ 	Bartoněk Jaroslav			
1979	PN	SABENA 	Vozáb Petr			
1979	PN	SALDO 	Hurt Jiří			
1979	Z	SILIKÁT 	Chaloupka Václav			
1979	PN	TANJA 	Samšiňák Miroslav			
1979	Z	VIND 	Grassl František			
1979	SN	VIRTUOS 	Bartoněk Jaroslav			
1978	PN	ANILIN 	Borusík Vladimír			
1978	2	CONTINENTAL 	Chaloupka Jiří			
1978	3	DAFNÉ 	Baráček Pavel			
1978	SN	FLORET 	Matulík Stanislav			
1978	Z	HABR 	Kafka Jaroslav			
1978	S	HAMBURG 	Palička Jan			
1978	PN	JAPONKA 	Matysík Metoděj			
1978	PN	KANTON 	Kuchovský Kamil			
1978	5	KYB 	Kasal Jiří			
1978	1	LANCASTER 	Zobal František			
1978	PN	LIMIT 	Beránek Stanislav			
1978	PN	NOGA 	Novák Jan			
1978	SN	NUGET 	Knápek Vlastimil			
1978	Z	SALGO 	Milev Nedělko			
1978	Z	SILVESTER 	Chaloupka Václav			
1978	4	TANJA 	Michal Jaroslav			
1978	PN	VARIÁN 	Hollý Michal			
1977	PN	ANILIN 	Brew Charlotte			
1977	ZN	BARONY FORT	Munro-Wilson Broderick			
1977	Z	CAN COTTAGE	Chaloupka Jiří			
1977	5	DAFNÉ 	Vít Karel			
1977	D8	DESPOTA 	Grassl František			
1977	Z	FANTOM 	Kantek Miroslav			
1977	2	FLANG 	Baráček Pavel			
1977	4	FLORET 	Petrlík Roland			
1977	PN	GOLUB 	Matysík Metoděj			
1977	6	KANTON 	Kuchovský Kamil			
1977	7	KYB 	Zobal František			
1977	PN	LIMIT 	Novák Jan			
1977	PN	NUGET 	Vlasák Petr			
1977	PN	POSTAMENT 	Liebich Pavel			
1977	PN	PUNČ 	Milev Nedělko			
1977	3	SILVESTER 	Jančár Josef			
1977	PN	SVAHIM 	Kasal Jiří			
1977	PN	ÚSKOK 	Chaloupka Václav			
1977	1	VÁCLAV 	Kasal Jiří			
1976	Z	BLEDAX 	Chaloupka Jiří			
1976	PN	DAFNÉ 	Březovjak Jan			
1976	Z	DEKRET 	Chaloupka Václav			
1976	5	FLANG 	Baráček Pavel			
1976	ZN	FLORET 	Kuchovský Kamil			
1976	4	KYB 	Zobal František			
1976	1	LIMIT 	Benš Karel			
1976	3	MOR 	Sloan George			
1976	ZN	NEW ARCTIC	Liebich Pavel			
1976	2	PUNČ 	Fuchsík Jan			
1976	6	SOLUX 	Suchovský Otto			
1976	PN	SZFÉRA 	Zdobina Jiří			
1976	Z	SZIBARITA 	Kasal Jiří			
1975	ZN	BLEDAX 	Chaloupka Jiří			
1975	3	DAFNÉ 	Milev Nedělko			
1975	6	DANIJA 	Krasl Jiří			
1975	5	DESPOTA 	Grassl František			
1975	ZN	FLANG 	Cekov Dimitr			
1975	7	GEOLOG 	Matysík Metoděj			
1975	8	KANTON 	Kuchovský Kamil			
1975	2	KYB 	Vocásek František			
1975	Z	LISTR 	Gutvirt Pavel			
1975	Z	MARQUIS 	Petrbok Oskar			
1975	Z	MOCNÁ II	Benš Karel			
1975	1	MOR 	Gassmann Rolf			
1975	PN	NEBEL II	Beránek Stanislav			
1975	PN	NICA 	Pařízek Zdeněk			
1975	PN	PARTNER 	Liebich Pavel			
1975	4	PUNČ 	Hudec Jozef			
1975	PN	SANDRA II	Chaloupka Václav			
1975	Z	VELOX 	Tokov Mahmud			
1974	2	BARITON 	Solos V.M.			
1974	PN	BARON 	Vlasák Petr			
1974	PN	BLANÍK 	Gorelkin Valentin			
1974	5	ESTET 	Grassl František			
1974	PN	FLANG 	Matysík Metoděj			
1974	PN	KANTON 	Vocásek František			
1974	Z	LISTR 	Kafka Jaroslav			
1974	6	MARQUIS 	Kuchovský Kamil			
1974	8	METÁL 	Benš Karel			
1974	1	MOR 	Liebich Pavel			
1974	7	PUNČ 	Collins Christopher			
1974	3	STEPHEN´S SOCIETY	Chaloupka Václav			
1974	4	VELOX 	Novák Jan			
1974	PN	VILONA 	Šebesta Václav			
1973	SN	ANTRAKT 	Gorelkin Valentin			
1973	7	BAGAŠ 	Jevdokimov A.N.			
1973	Z	BARITON 	Riška Augustín			
1973	PN	BOX 	Andrejev E.M.			
1973	SN	BROM 	Smetanin N.A.			
1973	6	BUFER 	Krasl Jiří			
1973	3	DESPOTA 	Prachov Vladimir			
1973	PN	ERZERUM 	Bartoš Josef			
1973	PN	FELICIA 	Grassl František			
1973	4	FLANG 	Janák Hubert			
1973	PN	HALON 	Gassmann Rolf			
1973	PN	HRONEC 	Kasal Jiří			
1973	PN	MAMBO 	Kafka Jaroslav			
1973	8	MARQUIS 	Palyzová Eva			
1973	ZN	METÁL 	Zobal František			
1973	PN	METAS 	Benš Karel			
1973	2	MOR 	Havlíček Jan			
1973	Z	OPONENT 	Collins Christopher			
1973	1	STEPHEN´S SOCIETY	Kuchovský Kamil			
1973	5	VILONA 	Riška Augustín			
1972	PN	ALEXANDRA 	Vítek František			
1972	Z	CRAN 	Karásek Josef			
1972	PN	DEKRET 	Kasal Jiří			
1972	5	DIVIŠ 	Vávra Miloš			
1972	7	FATRA II	Grassl František			
1972	3	FLANG 	Chaloupka Jiří			
1972	PN	GAJUS 	Káva Jiří			
1972	SN	GARANT 	Vokálik Štefan			
1972	PN	HRONEC 	Chaloupka Václav			
1972	1	KOROK 	Nová Jana			
1972	8	LUKAVA 	Janatka Ivan			
1972	6	MAMBO 	Palyzová Eva			
1972	4	METÁL 	Bartoš Josef			
1972	PN	METODA 	Benš Karel			
1972	2	MOR 	Kuchovský Kamil			
1972	ZN	NINA 	Samšiňák Miroslav			
1972	PN	PUNC 	Milev Nedělko			
1972	PN	VEZNA II	Kasal Jiří			
1971	8	ALEXANDRA 	Fehér Vladimír			
1971	PN	ANINA 	Švejna Ivan			
1971	Z	BARVÁR 	Karásek Josef			
1971	PN	DEKRET 	Janák Hubert			
1971	PN	DIVIŠ 	Chaloupka Václav			
1971	1	KOROK 	Suchovský Otto			
1971	PN	KOSTRAVA 	Raisner Oldřich			
1971	SN	LIS 	Riška Augustín			
1971	7	LUKAVA 	Taraba Anton			
1971	PN	MALAGA 	Janatka Ivan			
1971	6	MAMBO 	Palyzová Eva			
1971	2	METÁL 	Benš Karel			
1971	3	MOR 	Hellinger Juraj			
1971	PN	MORÁK 	Liebich Pavel			
1971	5	NEKLAN 	Kňazík Tibor			
1971	9	NESTOR 	Kafka Jaroslav			
1971	Z	PAMPA 	Kapušev A.A.			
1971	Z	PULZACIJA 	Matysík Metoděj			
1971	10	RIA 	Milev Nedělko			
1971	4	VEZNA II	Lex Miroslav			
1970	PN	BILET 	Gorelkin Valentin			
1970	PN	DRESDEN 	Brúder Pavel			
1970	8	GAVORA 	Palyzová Eva			
1970	11	HARLEKÝN 	Varvažovský Petr			
1970	13	HRONEC 	Kuchovský Kamil			
1970	4	JALEC 	Varga Miklós			
1970	6	KARTÁRS 	Chaloupka Václav			
1970	SN	KOROK 	Suchovský Otto			
1970	3	KOSTRAVA 	Vítek František			
1970	PN	LIBAN 	Žďárek Josef			
1970	PN	LIBAROS 	Raisner Oldřich			
1970	PN	LIS 	Riška Augustin			
1970	2	LUKAVA 	Chytka Josef			
1970	PN	MADAME 	Bezstarosta Jaroslav			
1970	10	METODA 	Hellinger Juraj			
1970	5	MORÁK 	Samšiňák Miroslav			
1970	SN	NEKLAN 	Avdějev Ivan			
1970	PN	PELENGATOR 	Taraba Anton			
1970	PN	PERUÁN 	Grassl František			
1970	9	PYŠNÁ 	Matysík Metoděj			
1970	12	RIA 	Cekov Dimitr			
1970	7	RUŠ 	Milev Nedělko			
1970	1	VEZNA II	Kapušev A.A.			
1969	PN	AFRONT 	Palyzová Eva			
1969	PN	BLANKYT 	Sokolov A.N.			
1969	PN	DRESDEN 	Smetanin N.A.			
1969	PN	ETIK 	Brúder Pavel			
1969	3	GAVORA 	Kučera Václav			
1969	ZN	HARLEKÝN 	Odstrčil Jiří			
1969	PN	JAPAN 	Chaloupka Václav			
1969	1	KOROK 	Suchovský Otto			
1969	4	KOSTRAVA 	Vítek František			
1969	SN	LIBAN 	Kuchovský Kamil			
1969	9	LONDON 	Izrael Luboš			
1969	6	LUKAVA 	Peťko Anton			
1969	2	MOHYLA 	Jevdokimov A.N.			
1969	5	NEBOSKLON 	Liebich Pavel			
1969	7	NEKLAN 	Bakliškin Lev			
1969	8	PORTLAND 	Bezstarosta Zdeněk			
1969	PN	SÁDEK 	Bezstarosta Jaroslav			
1969	PN	SAHAR 	Moravec Zdeněk			
1969	PN	VAGA 	Smetanin N.A.			
1967	5	BARVINOK 	Sokolov A.N.			
1967	1	DRESDEN 	Palyzová Eva			
1967	7	HARLEKÝN 	Jevdokimov A.N.			
1967	Z	CHRONIK 	Vítek František			
1967	SN	JAPAN 	Huptys Karel			
1967	Z	KORÁB 	Riška Augustin			
1967	SN	KOREC 	Suchovský Otto			
1967	4	KOSTRAVA 	Odstrčil Jiří			
1967	PN	LIBAN 	Kuchovský Kamil			
1967	8	LONDON 	Izrael Luboš			
1967	PN	LUKAVA 	Bayer Jaroslav			
1967	SN	LUNA 	Boor Boris			
1967	SN	MAGNÁT 	Beránek Stanislav			
1967	PN	MAMBO 	Šebesta Václav			
1967	2	MOCNÁ 	Verner Vladimír			
1967	ZN	NEKLAN 	Kňazík Tibor			
1967	3	NESTOR 	Raisner Oldřich			
1967	PN	PASEKA 	Toduta Vasile			
1967	PN	POET 	Avdějev Ivan			
1967	PN	REFERAT 	Palčikovskij V.N.			
1967	6	REFLEKTOR 	Gorelkin Valentin			
1967	Z	RUBEL 	Raimond Ludvík II.			
1967	PN	SÁDEK 	Kurka Václav			
1967	9	TIRAN 	Toduta Dumitru			
1967	PN	VAMPIR 	Soroka V.A.			
1967	PN	ZAMYSEL 	Dějev Pavel			
1966	PN	AFFEKT 	Chalupa Václav			
1966	SN	BAJKAL 	Hucz Henryk			
1966	PN	BOJGARD 	Gorelkin Valentin			
1966	PN	DALMAT 	Benš Josef			
1966	SN	FÍK 	Eana Dumitru			
1966	PN	FULGER 	Makarov Rostislav			
1966	PN	CHVOŠČ 	Suchovský Otto			
1966	PN	KOREC 	Venhoda František			
1966	PN	KORÝŠ 	Varga Miklós			
1966	PN	KRÖZUS 	Odstrčil Jiří			
1966	6	LIBAN 	Kuchovský Kamil			
1966	7	LONDON 	Izrael Luboš			
1966	ZN	LUKAVA 	Brúder Pavel			
1966	PN	METAN 	Šebesta Václav			
1966	3	MOCNÁ 	Suchánek Jiří			
1966	SN	MORIAK 	Kňazík Tibor			
1966	1	NESTOR 	Raisner Oldřich			
1966	4	PASEKA 	Gudea Teodor			
1966	PN	RAZVAN 	Toduta Dumitru			
1966	2	VAMPIR 	Milev Nedělko			
1966	5	ZOLEJKA 	Várnai István			
1965	S	BÁLINT 	Beránek Stanislav			
1965	PN	BOJARKA 	Palyzová Eva			
1965	2	CAVALET 	Tětěrnikov G.P.			
1965	5	EREBUS 	Guselnikov Nikolaj			
1965	9	FAVORIT 	Dějev Pavel			
1965	3	GABOJ 	Suchovský Otto			
1965	PN	KOREC 	Varga Miklós			
1965	7	KRÖZUS 	Vítek František			
1965	1	MOCNÁ 	Toduta Dumitru			
1965	PN	PING PONG	Gorelkin Valentin			
1965	8	PRIBOJ 	Eana Dumitru			
1965	6	RAZVAN 	Gudea Teodor			
1965	4	VAMPIR 	Kedvesi József			
1964	PN	BÁLINT 	Benkö Jozef			
1964	PN	DIV 	Toduta Dumitru			
1964	PN	FULGER 	Koňkov V.			
1964	PN	GABOJ 	Avdějev Ivan			
1964	3	GRIFEL 	Kurka Václav			
1964	6	KOLONIE 	Poenaru Nicolae			
1964	PN	LETOPISET 	Šebesta Václav			
1964	4	MOCNÁ 	David Jiří,Ing.			
1964	PN	MOHAN 	Raisner Oldřich			
1964	7	OLAF 	neznámý žokej			
1964	PN	PING PONG	Gorelkin Valentin			
1964	1	PRIBOJ 	Zatřepálek Ladislav			
1964	5	PUSZTÝ 	Gudea Teodor			
1964	2	VAMPIR 	Várnai István			
1963	Z	AFIUM 	Prachov Vladimir			
1963	PN	DALMAT 	Benkö Jozef			
1963	4	DIV 	Poenaru Nicolae			
1963	6	FULGER 	Makarov Rostislav			
1963	PN	GABOJ 	Suchánek Jiří			
1963	PN	GRANÁT 	Avdějev Ivan			
1963	3	GRIFEL 	Bakliškin Lev			
1963	5	CHOCHOT 	Rapant Ivan			
1963	PN	JAVOR II	Vítek František			
1963	1	KORAN 	Raisner Oldřich			
1963	8	OLAF 	Toduta Dumitru			
1963	2	PING PONG	Gorelkin Valentin			
1963	7	PRIBOJ 	Zatřepálek Ladislav			
1963	PN	PUSZTÝ 	Tamás László			
1963	Z	SZAKERTÖ 	Eana Dumitru			
1962	6	BEC 	Makarov Rostislav			
1962	1	GABOJ 	Cekov Dimitr			
1962	3	GAUS GRIM	Avdějev Ivan			
1962	ZN	GRIFEL 	Aleutdinov A.			
1962	PN	CHEDER 	Bakliškin Lev			
1962	4	CHOCHOT 	Riška Augustín			
1962	PN	KOLAR 	Stibůrek Karel			
1962	5	KORAN 	Kocman Jiří			
1962	SN	LOTOS-1 	Raisner Oldřich			
1962	7	OLAF 	Toduta Dumitru			
1962	2	PETRICA 	Novák Jiří			
1961	5	DIV 	Rajnov Atanas			
1961	3	GAUS GRIM	Toduta Vasile			
1961	SN	GRANIT 	Avdějev Ivan			
1961	1	GRIFEL 	Bakliškin Lev			
1961	PN	GURZUF 	Makarov Rostislav			
1961	2	CHEDER 	Verner Vladimír			
1961	SN	KONSUL 	Bárta Stanislav			
1961	6	KORAN 	Raisner Oldřich			
1961	Z	KOREK II	Lengyel F.			
1961	SN	NEVÄDZA 	David Jiří, Ing.			
1961	4	OLAF 	Chalupa Václav			
1961	PN	RITA 	Cekov Dimitr			
1961	D	VOMAG 	Beránek Stanislav			
1960	6	BOJARKA 	Makarov Rostislav			
1960	5	BRUSNIKA 	Rapant Ivan			
1960	7	BYSTRÁ 	Kuželka J.			
1960	Z	CENSOR 	Prachov Vladimir			
1960	3	EPIGRAF 	Avdějev Ivan			
1960	1	GRIFEL 	Kocman Jiří			
1960	8	KONSUL 	Krotký J.			
1960	SN	LIMBORA 	Šnirc Milan			
1960	PN	LIPTOV 	David Jiří, Ing.			
1960	4	LOTOS-1 	Venhoda František			
1960	PN	NIKOLA 	Dvořák Josef			
1960	PN	PASTELA 	Guselnikov Nikolaj			
1960	2	RELJEF 	Bakliškin Lev			
1960	PN	VIZA 	Bakliškin Lev			
1959	2	BAZIS 	Petrlík Harry.st.			
1959	PN	CALMÍN 	Rapant Ivan			
1959	3	CORA 	Sucharev Ivan			
1959	SN	ENERGETIK 	Prachov Vladimir			
1959	1	EPIGRAF 	Makarov Rostislav			
1959	PN	GAZON II	Benš Josef			
1959	PN	GOLEM 	Had Stanislav			
1959	SN	HACIENDA 	Raimond Ludvík II.			
1959	5	KONSUL 	Stibůrek Karel			
1959	ZN	KORAN 	Raisner Oldřich			
1959	4	KOREK II	Rada Adolf			
1959	SN	LIPTOV 	David Jiří			
1959	8	LOTOS-1 	Šnirc Milan			
1959	7	NEMEZIA 	Fedin Vladimir			
1959	ZN	TARAN 	Svoboda Václav			
1959	6	TORNÁDA 	Palyzová Eva			
1959	PN	VANDA II	Haspra J.			
1958	SN	ACEL 	Koňkov V.			
1958	Z	BARELJEF 	Beránek Stanislav			
1958	10	ČILÝ 	Spiress Jiří			
1958	PN	DAREX II	Prachov Vladimir			
1958	1	EPIGRAF 	Bakliškin Lev			
1958	3	GAZON II	Had Stanislav			
1958	11	GNOM 	Makarov Rostislav			
1958	9	CHEDER 	Fedin Vladimi			
1958	PN	KOKS 	Raimond Ludvík II.			
1958	5	KONSUL 	Raimond Ludvík, Ing.			
1958	6	LIAN 	Stibůrek Karel			
1958	2	LIPTOV 	Zatřepálek Ladislav			
1958	8	LOTOS-2 	Kolarik Vincenc			
1958	4	NEVÄDZA 	Palyza Ferdinand			
1958	7	VANDA II	Duran Augustin			
1957	PN	ADEN 	Makarov Rostislav			
1957	3	BARBARA 	Kolarik Vincenc			
1957	PN	BELVEDER 	Bystrický Milan			
1957	Z	BLEN 	Pavlas František			
1957	14	CASSIÁN 	Dostál Oldřich			
1957	13	DUNKA 	Falewicz Alexander			
1957	7	DZAFFAR 	Fedin Vladimir			
1957	1	EPIGRAF 	Kujbyšev Valerian			
1957	PN	GAZON I	Bakliškin Lev			
1957	2	GAZON II	Bozděch Josef			
1957	9	GNOM 	Adamec Bohumil			
1957	10	HALA 	Smaženka Milan			
1957	12	KALIA 	Raisner Oldřich			
1957	5	KOMANDÍR 	Vavroušek Josef			
1957	PN	KORSIČAN 	Korytar Josef			
1957	SN	LETEC 	Raimond Ludvík,Ing.			
1957	6	LIAN 	Lipowicz Zenon			
1957	11	MANILLA 	Dvořák Jaroslav			
1957	8	NAPOLI 	Čajda Jozef			
1957	4	TORNÁDA 	Jančar Josef			
1957	SN	UNKAS 	Mašek Kamil			
1957	PN	UNKÁSEK 	Losev Koce			
1957	PN	VELIKAN 	Schejbal V.			
1956	9	ADBRITUS 	Fedin Vladimir			
1956	6	BAJGA 	Babirecki Marian			
1956	2	BARACS 	Bozděch Josef			
1956	PN	BROUK 	Adam Josef			
1956	PN	CASSIÁN 	Duran Augustin			
1956	SN	FURIOSO IV 	Porubský J.			
1956	Z	GEJŠA 	Ruda Stanislav			
1956	PN	GNOM 	Lamich František			
1956	5	GOMBA 	Svoboda Miloš			
1956	7	HUMOR 	Vladař Petr			
1956	PN	CHASA 	Petrik Jan			
1956	Z	CHODEC 	Makarov Rostislav			
1956	4	ISTREBITĚL 	Raisner Oldřich			
1956	3	KOMANDÍR 	Vavroušek Josef			
1956	1	LETEC 	Kolátor Josef			
1956	SN	ORLOV 	Werner Miroslav			
1956	PN	SALVATOR 	Jančar Josef			
1956	8	UNKAS 	Čajda Jozef			
1955	2	BROUK 	Mašek Kamil			
1955	Z	DOBRÁK 	Pithart O.-Palyza F.			
1955	7	DUNKA 	Duran A.- Ruda S.			
1955	1	FURIOSO 	David Jiří			
1955	3	FURIOSO VII 	Bozděch Josef			
1955	PN	GEJŠA 	Svoboda Miloš			
1955	PN	GERA II	Vladař Petr			
1955	4	GEROJ-DAN 	Prachov Vladimir			
1955	PN	CHINGANA 	Beránek Stanislav			
1955	Z	LÁN 	Svoboda Václav			
1955	10	LETEC 	Rabčanov Vladimir			
1955	PN	NEFRIT 	Kolátor Josef			
1955	PN	ORLOV 	Werner Miroslav			
1955	SN	SALVATOR 	Antošin Alexander			
1955	6	SATRAP 	Rapant Ivan			
1955	Z	TIP 	Suchánek Jiří			
1955	8	TOSKA 	Raimond Ludvík,Ing.			
1955	5	UNKAS 	Cibere Jan			
1955	9	VANDAL 	Stibůrek Karel			
1955	SN	VENUŠE 	Bozděch Josef			
1954	5	BROUK 	Novosad J.			
1954	PN	GERA 	Vladař Petr			
1954	3	GEROJ-DAN 	Palyza Ferdinand			
1954	SN	JUNÁK 	Svoboda Václav			
1954	4	LETEC 	Ruda Stanislav			
1954	PN	SALVATOR 	Raimond Ludvík,Ing.			
1954	1	UNKAS 	Stibůrek Karel			
1954	PN	VENUŠE 	Svoboda Miloš			
1954	2	VÍTĚZ II	Zatřepálek Ladislav			
1953	SN	AMI 	Koptík Čestmír			
1953	SN	ANDULKA 	Bozděch Josef			
1953	3	BROUK 	Raimond Ludvík			
1953	PN	DONOVAN 	Kováč I.P.			
1953	3	FURIOSO X 	Rada Adolf			
1953	PN	GAVRAN 	Palyza Ferdinand			
1953	1	JUNÁK 	Zámostný A.			
1953	SN	KALIFA 	Svoboda Václav			
1953	SN	LETEC 	Kolátor Josef			
1953	Z	PERUN 	Stibůrek Karel			
1953	PN	RUDINA 	Werner Miroslav			
