rok	pořadí	jméno	žokej	překážka	zranění	smrt
1953	PN	SALVATOR 	Ruda Stanislav			
1953	2	VAR 	Svoboda Miloš			
1953	4	VÍTĚZ II	Ruda Stanislav			
1952	5	AMI 	Koptík Čestmír			
1952	6	ANDULKA 	Koska Jindřich			
1952	PN	ATOM II 	Bozděch Josef			
1952	2	BROUK 10l., ryzák,	Novosad J.			
1952	Z	CASSIÁNKA 	Raimond Ludvík			
1952	PN	GRAND 	Palyza Ferdinand			
1952	4	JUNÁK 8l., ryzák,	Svoboda Václav			
1952	3	LETEC 	Chmela Josef			
1952	SN	NĚMEN 	Werner Miroslav			
1952	PN	SALVATOR 	Svoboda Miloš			
1952	1	VÍTĚZ II	Kostka Jindřich			
1951	5	ATOM II	Bozděch Josef			
1951	3	BROUK 	Babij Pavel			
1951	6	CETYNĚ 	Kmoch O.			
1951	7	DIVOKÁ 	Holík Jiří			
1951	9	IRTUŠE 	Zábrodský Vladimír			
1951	PN	IVAN 	Palyza Ferdinand			
1951	2	JUNÁK 	Pešek Bohumil			
1951	4	KALIFA 	Raimond Ludvík			
1951	SN	RÉMUS 	Hejmovský Vladimír			
1951	1	SALVATOR 	Šusta Miroslav			
1951	ZN	TITAN 	Stibůrek Karel			
1951	PN	UNKAS 	Hák V.			
1951	ZN	ÚPAL 	Jungman Josef			
1951	SN	VAR 	Svoboda Miloš			
1951	SN	VILÍK 	Krištůfek Josef			
1951	8	ŽÁN 	Stibůrek Karel			
1950	Z	ČINGISCHÁN 	Kmoch O.			
1950	4	DIVOKÁ 	Palyza Ferdinand			
1950	5	JUNÁK 	Krištůfek Josef			
1950	2	LENKA II	Vladař Petr			
1950	PN	RIVAL 	Werner Miroslav			
1950	6	SALVATOR 	Kubičík Jaroslav			
1950	SN	TITAN 	Jungman Josef			
1950	1	VAR 	Svoboda Miloš			
1950	PN	VÍTĚZ II	Král J.			
1950	3	VÍTĚZ III	Rusek Arnošt			
1950	PN	ŽÁN 	Kouba O.			
1949	SN	CORRIDA 	Louda Jaroslav			
1949	SN	ČINGISCHÁN 	Kmoch O.			
1949	4	DIVOKÁ 	Blažek Jiří			
1949	PN	GIDRAN IV 	Krištůfek Josef			
1949	PN	IVAN 	Pouska Milan			
1949	SN	JISKRA 	Čechura Václav			
1949	PN	LENKA II	Malý Josef			
1949	SN	LOCHOVKA 	Holík Jiří			
1949	PN	NORA 	Kolátor Josef			
1949	SN	PETRUS 	Křenek Oldřich			
1949	SN	SAHAČ 	Rusek Arnošt			
1949	SN	SALVATOR 	Stibůrek Karel			
1949	SN	SHERRY 	Kubičík Jaroslav			
1949	5	TITAN 	Michálek F.			
1949	PN	ÚČAST 	Dostál Oldřich			
1949	1	UČEŇ 	Tydír M.			
1949	3	VAR 	Svoboda Miloš			
1949	2	VÍTĚZ II	Kovač I.P.			
1948	2	BACCARAT 	Vágner J.			
1948	ZN	CORRIDA 	Pouska Milan			
1948	5	JISKRA 	Myslík Ladislav			
1948	PN	LYCAON 	Aubrecht František			
1948	3	PETRUS 	Dostál Oldřich			
1948	SN	REZEK 	Svoboda Miloš			
1948	4	SHAGYA VII 	Čechura Václav			
1948	SN	TITAN 	Klement Josef			
1948	PN	UČEŇ 	Kotek Miroslav			
1948	1	VAR 	Michálek F.			
1948	PN	VÍTĚZ IV	Kovač I.P.			
1947	10	ARPÁD 	Vágner J.			
1947	7	CORRIDA 	Lefrant G.			
1947	3	HORTENSE II	Jordanov K.D.			
1947	2	LYCAON 	d´Auriac Galtier E.			
1947	PN	NINA II	Chevalier B.			
1947	8	OISEAU BLEU II	Brandisová Lata			
1947	SN	OTELLO 	Hrůzik František			
1947	PN	RAMSES 	Buret M.			
1947	1	RAYON DE LUNE	Gregor Pavol			
1947	9	SHAGYA VII 	Kuncl Leopold			
1947	Z	STAR OF HANNOVER	Aubrecht František			
1947	SN	SVATOPLUK 	Svoboda Miloš			
1947	5	TITÁN 	Knápek Rudolf			
1947	6	VATELOR 	Widner Zdeněk			
1947	S	VÍTĚZ III	Kotek Miroslav			
1947	4	ZÁHOR 	Růžička Ladislav			
1946	PN	ČIMBORASSO 	Brandisová Lata			
1946	PN	NURMI 	Gampe Kamil			
1946	4	ONA 	Aubrecht František			
1946	2	SVATOPLUK 	Svoboda Miloš			
1946	1	TITAN 	Bureš Otomar			
1946	3	VÍTĚZ I	Klement Josef			
1946	5	ZÁHON 	Dobeš Josef			
1946	PN	ZÁHOR 	Kohoutek Josef			
1937	ZN	ČIPERA 	Aubrecht František			
1937	4	DAGGER 	Schmidt H.			
1937	PN	EDENHALL 	Lemke H.			
1937	10	ELFE 	Lengnik O.			
1937	3	HEROLD 	Massiet H.			
1937	PN	IARBAS 	Klement Josef			
1937	6	LETHÉ 	Dobeš Josef			
1937	8	MILONGA 	Brandisová Lata			
1937	1	NORMA 	Schlagbaum Willibald			
1937	2	QUIXIE 	Růžička Ladislav			
1937	7	RADOMIL 	Zadsora J.			
1937	9	ROMULUS 	Scharfetter C.			
1937	PN	UPMAN 	Wiese H.			
1937	5	WAHNE 	Backenhaus O.			
1937	PN	WIELAND 	Ferjenčík Mikuláš			
1936	PN	DODOSA 	Scharfetter C.			
1936	PN	EDENHALL 	Lemke H.			
1936	3	ELFE 	Böttcher H.			
1936	7	GLÜCKAUF 	Procházka Václav			
1936	PN	HARLEKÝN 	Lengnik O.			
1936	1	HEROLD 	Aubrecht František			
1936	2	HETRE 	Backenhaus O.			
1936	PN	ILLO 	Dobeš Josef			
1936	6	MILONGA 	Kocourek O.			
1936	8	NEKLAN 	Pogliaga D.			
1936	4	NORMA 	Schlagbaum Willibald			
1936	5	QUIXIE 	Schmidt H.			
1936	PN	SURYA 	Visconti di Modr L.			
1936	PN	VENIERO 	Wiese H.			
1936	PN	WAHNE 	de Cavaillé P.			
1935	4	ČIGÝR 	Lengnik O.			
1935	1	HEROLD 	Peters A.			
1935	PN	LANDGRAF 	Aubrecht František			
1935	PN	MONARCH 	Brandisová Lata			
1935	5	NORMA 	Pogliaga D.			
1935	3	QUIXIE 	Munzenheimer M.			
1935	PN	TIP 	Wiese H.			
1935	2	WAHNE 	Blaszek Jan			
1934	7	CLEMATIS 	Býček Hynek			
1934	8	ČIGÝR 	Gröben J.			
1934	PN	ELFE 	Hoffmann B.			
1934	3	HARZBURGERIN 	Dobeš Josef			
1934	PN	MADEIRA 	De Granel J.			
1934	6	NEKLAN 	De Cavaillé P.			
1934	5	NEVA 	Brandisová Lata			
1934	2	NORMA 	Fugger L.			
1934	PN	PADOVA 	Alba Alexander			
1934	PN	RAG 	Aubrecht František			
1934	4	UPMAN 	Wiese H.			
1934	1	WAHNE 	Pastor J.			
1933	PN	ATARAXIA 	Mikeš Ferdinand			
1933	PN	CLEMATIS 	Böttcher H.			
1933	4	DEPUTATION 	Mathet F.			
1933	2	ECKMÜHL 	Solms B.			
1933	SN	FERBER 	Seyfried Josef			
1933	SN	GYI LOVAM!	de la Forest A.			
1933	PN	JEUNE CHEF	Brandisová Lata			
1933	3	NORMA 	Alba Alexander			
1933	SN	PELIDE 	du Corail H.			
1933	5	POHANKA 	Howes H.			
1933	PN	REGALON 	Spano Rugiero			
1933	1	REMUS 	Dobeš Josef			
1933	SN	WEHRWOLF 	Zazalowski J.			
1932	4	ATARAXIA 	Schwandt Gustav			
1932	PN	BEN HUR	Býček Hynek			
1932	3	CLEMATIS 	Dobeš Josef			
1932	9	DARLING 	Statečný František			
1932	PN	GABARIT 	Seyfried Josef			
1932	10	GIBRALTAR II	Noiret J.			
1932	6	GOLUBČÍK 	Popler Rudolf			
1932	2	GYI LOVAM!	Charous Josef			
1932	ZN	LAŇKA 	Barton J.			
1932	5	MARCO POLO	Schlitzkuss A.			
1932	PN	NORTENDA 	Spano Rugiero			
1932	1	REMUS 	Aubrecht František			
1932	8	RENOMMÉ 	Schlagbaum Willibald			
1932	Z	TALÁN 	Staudinger L.			
1932	SN	TURRIDU 	Weissengruber H.			
1932	7	VÉRCSE 	Popler Rudolf			
1931	PN	CAMPANA 	Rómmel K.			
1931	PN	CARAIBE 	Rojík Jiří			
1931	2	GABARIT 	Linhart J.			
1931	PN	HOLLANDWEIBCHEN 	Eperjessy Josef			
1931	PN	LIBERIUS 	Brandisová Lata			
1931	4	NEZNÁMÝ, 	Csató Antonín			
1931	3	NORBERT 	Durand F.			
1931	1	POHANKA 	Schmidt H.			
1931	ZN	RENONCE 	Aubrecht František			
1931	5	SZÉLES II	Guttmann Emil			
1931	SN	TALÁN 	Albrecht Antonín			
1931	PN	TUSS 	Kohoutek Josef			
1930	PN	GABARIT 	Býček Hynek			
1930	2	GESTOR 	Popler Rudolf			
1930	1	GYI LOVAM!	Alba Alexander			
1930	PN	HOLLANDWEIBCHEN 	Kubový Jan			
1930	PN	CHÁN 	Bartels Heřman			
1930	PN	ISSA 	Brandisová Lata			
1930	4	NORBERT 	Seyfried Josef			
1930	3	TALÁN 	Havlena B.			
1929	PN	ALTMEISTER 	Guttmann Emil			
1929	PN	ANNI 	Danneberg V.			
1929	4	BEATE 	Schwandt Gustav			
1929	1	BEN HUR	Holoubek Karel			
1929	PN	BRUTUS 	Bittner E.			
1929	PN	CONTRA 	Čoček Julius			
1929	PN	DONALD 	Charous Josef			
1929	2	DOVER 	Staudinger Lukáš			
1929	PN	FREISCHÜTZ 	Popler Rudolf			
1929	3	GYI LOVAM!	Schmidt H.			
1929	PN	JOHANNITERIN 	Aubrecht František			
1929	PN	SZÉLES 	Seyfried Josef			
1928	5	ALTMEISTER 	Kummer U.			
1928	2	BEATE 	Holoubek Karel			
1928	3	BRUTUS 	Nepokupnoj K.			
1928	PN	CIMBAL AOR	Aubrecht František			
1928	10	DATLE 	Novák Josef			
1928	9	DĚDOUŠEK 	Pimpl R.			
1928	7	DIETR 	Charous Josef			
1928	6	FORUM 	Čermák Erik			
1928	PN	GINI 	Paulat H.			
1928	4	JOHANNITERIN 	Popler Rudolf			
1928	PN	MASTER BILLY	Szabó V.			
1928	8	NORBERT 	Býček Hynek			
1928	PN	USURIER II	Schmidt H.			
1928	1	VOGLER 	Popler Rudolf			
1927	PN	ALL RIGHT II	Drahoš Jiří			
1927	2	BRUTUS 	Bezuglij S.			
1927	PN	DOYEN 	Eisner A.			
1927	3	DUNKA 	Býček Hynek			
1927	PN	EBA 	Mikeš Ferdinand			
1927	PN	EDITORE 	Pimpl R.			
1927	4	ESÁŽ 	Charous Josef			
1927	1	FORUM 	Častora J.			
1927	PN	GOLUBČÍK 	Gimpl F.			
1927	PN	LANDGRAF II	de la Forest A.			
1927	SN	MARKOMANN 	Brandisová Lata			
1927	5	NEVĚSTA 	Holoubek Karel			
1927	PN	PINGUIN 	Popler Rudolf			
1926	1	ALL RIGHT II	Novák Josef			
1926	5	DĚDOUŠEK 	Pimpl R.			
1926	PN	DIETR 	Syrový J.			
1926	PN	DUDÁK 	Eisner A.			
1926	PN	DUNKA 	Býček Hynek			
1926	3	EBA 	Charous Josef			
1926	4	EDYPOLO 	Košťálek V.			
1926	6	FILEK 	Holoubek Karel			
1926	2	LANDGRAF II	Statečný František			
1926	PN	MIESEPETER 	Mauve Eberhard			
1926	PN	NEBICH 	Hintschich A.			
1926	PN	PINGUIN 	Guttmann Emil			
1926	PN	VONZALOM 	John B.			
1925	SN	ARAB 	Charous Josef			
1925	2	DEN 	Popler Rudolf			
1925	PN	EDYPOLO 	Čermák Erik			
1925	PN	FIDELIO 	Holoubek Karel			
1925	1	LANDGRAF II	Vaněk V.			
1925	3	LUDOFF 	Novák F.			
1925	PN	MORAVIA 	Silva-Tarouca F.E.			
1925	PN	NESTROY 	Stärz Eduard			
1924	1	HERERO 	Mikeš F.			
1924	PN	HOROWITZ 	Básler B.			
1924	3	IKARUS 	Pintér J.			
1924	SN	LANDGRAF II	Holoubek Karel			
1924	2	LEFFERS II	Gimpl František			
1923	PN	DALILA II	Fíbr Josef			
1923	PN	EIRBECHER 	Syrový Josef			
1923	PN	EMANUEL 	Buchar Oldřich			
1923	4	EVIVA 	Pintér Jan			
1923	1	LANDGRAF II	Holoubek Karel			
1923	PN	LEFFERS II	Statečný František			
1923	3	MIESEPETER 	Popler Rudolf			
1923	SN	PERIWIG 	Hauser Vilém			
1923	PN	R.F. 	Kovács Josef			
1923	2	SZIGLIGET 	Gimpl František			
1922	1	BALDUR 	Guttmann Emil			
1922	SN	DON KOZÁK	Baluska M.			
1922	PN	HROM 	Pelzer J.			
1922	Z	LEÁNYASSZONY 	Holoubek Karel			
1922	2	LEFFERS 	Syrový Josef			
1922	PN	PERIWIG 	Nagy Alexander			
1922	PN	R.F. 	Machian T.			
1921	PN	ARVALÁNY 	Pulay L.			
1921	Z	BAMBUS 	Nagy Alexander			
1921	3	GÖPEL 	Klein A.			
1921	PN	IRMA 	Kozlík Karel			
1921	PN	MAGYAR LEÁNY	Procházka L.			
1921	PN	MOSTAR 	Baluska M.			
1921	2	PANNY 	Syrový J.			
1921	1	PERIWIG 	Baluska M.			
1920	PN	BAMBUS 	Horáček Antonín			
1920	PN	HALICS 	Machian H.			
1920	SN	HEKTOR 	Kozlík Karel			
1920	D1	JONATHAN 	Mossner P.			
1920	SN	LANGOUSTE 	Syrový J.			
1920	PN	MARANGONA 	Scholz Rainer			
1913	PN	BRAMPTON LASS	Fries J.			
1913	SN	CAROLLING 	Janek F.			
1913	1	DICK TURPIN	Newey A.			
1913	PN	OBERBAYER 	Landler Franz			
1913	PN	STAMFORD 	Dachowski Tadeusz			
1913	2	ZEPPELIN 	Landler Franz			
1912	PN	GRADO 	Blixen-Finecke H.			
1912	3	HILARION II	Winkler W.			
1912	6	HOGYNE 	Bartosch František			
1912	1	JAMAGATA 	Earl Walter H.			
1912	PN	KULIK 	Kisziwath K.			
1912	PN	NEVERMORE 	Stehno Franz			
1912	5	PIRÓK II	Johnson R.			
1912	4	SCOTCH MOOR	Scholz Rainer			
1912	PN	SIEGLINDE 	Sparkes P.J.			
1912	PN	XYATAGAN 	Dachowski T.R.			
1912	2	ZEPPELIN 	Winkler G.			
1911	PN	ALIKE 	Landler Franz			
1911	PN	BLITZMÄDEL 	Krieger Egan Jenö			
1911	1	GLENMORGAN 	Winkler W.			
1911	2	HOGYNE 	Brown J.			
1911	PN	CHANOINE 	Stehno Franz			
1911	3	PIRÓK II	Scholz Rainer			
1911	4	SÓDAR 	Seiffert Max			
1911	PN	SUNHURST II	Jahrmarkt A.			
1911	PN	SVEN HEDIN	Bastian T.			
1911	PN	TURANDOT II	Scholz Rainer			
1910	2	AMBRA 	Huxtable Harry H.			
1910	PN	CÄCILIUS 	Hujber J.			
1910	SN	FABRICIUS 	Hochstein J.			
1910	PN	CHATEAUWERT 	Fejes J.			
1910	PN	MAGON 	Healy F.			
1910	SN	MUSCADET 	Seiffert Max			
1910	1	PAUL HESTON	Kollar L.			
1910	PN	TILLY 	Landler Franz/Bartosch František			
1909	D	CORDON 	Landler Franz/Bartosch František			
1909	PN	HATTON´S LOWE	Healy F.			
1909	D	KOURGAN 	Birghan J.			
1907	Z	ALIKE 	Kocholatý E.			
1907	PN	ANNETTE 	Charvát J.			
1907	PN	CORDON 	Landler Franz			
1907	2	EAHLSWITH 	Printen L.			
1907	1	KOURGAN 	Birghan J.			
1907	3	NUGOMMORV 	Seidemann A.			
1907	PN	READY 	Rosak V.			
1907	4	ROYAL BOW II	Seiffert Max			
1907	5	SARATOGA 	Lawton F.			
1907	PN	SCOTCH MOOR	Bastian T.			
1906	PN	BÁTOR 	Rosak Ulrich			
1906	PN	CORDON 	Slavík F.			
1906	3	FREILICH 	Lücke M.			
1906	5	GRÁL 	Bartosch František			
1906	SN	JOVIAL MONK	Horáček František			
1906	Z	MARCH NIGHT	Seidemann A.			
1906	4	SARATOGA 	Buckenham Thomas H.			
1906	2	SCOTCH MOOR	Bastian T.			
1906	1	TIGRA 	Huxtable Harry H.			
1904	1	DENNIS 	Buckenham Thomas H.			
1904	5	GRÁL 	Bartosch František			
1904	2	GRETNA GREY	Rosak Ulrich			
1904	3	MYSTERY 	Printen L.			
1904	PN	NÁSZNAGY 	Healy F.			
1904	6	TROMPF 	Csompora M.			
1904	4	VENDEL 	Lawton F.			
1903	2	DOSSIER 	Horáček Antonín			
1903	PN	CHORAZY 	Slinn Frederick E.			
1903	1	JOUR FIX	Rosák Ulrich			
1903	D3	MYSTERY 	Csompora M.			
1903	3	NÁSZNAGY 	Horáček František			
1903	PN	NETTI 	Fürst A.			
1903	SN	ROLL 	Scholz Rainer			
1902	Z	BALRATH 	Höpker E.			
1902	2	DOSSIER 	Horáček Antonín			
1902	Z	DUCHESS 	Hesp Frank			
1902	PN	FLAGGENSCHIFF 	Morton F.			
1902	3	CHORAZY 	Slinn Frederick E.			
1902	1	JOUR FIX	Rosak Ulrich			
1902	SN	ROLL 	Printen L.			
1902	PN	TERETVÁR 	Fejes J.			
1902	PN	TUDOR 	Healy F.			
1902	4	VÁNDOR 	Lawton F.			
1901	SN	FRICZI 	Rosak Ulrich			
1901	1	CHORAZY 	Slinn Frederick E.			
1901	4	MAGYARÁD 	Kinský Zdenko			
1901	SN	MAY BE	Machian F.			
1901	PN	PLUNGER 	Bartosch František			
1901	2	ROTE TANTE	Jekyll R.			
1901	PN	SENATOR II	Martin J.			
1901	3	SLÁVA 	Bastian T.			
1900	PN	ALEXANDER 	Phillips W.			
1900	2	DARK BEAUTY	Fletcher Richard Harry			
1900	SN	EINS INS ANERE	Williamson George			
1900	1	MAGYARÁD 	Buckenham Thomas H.			
1900	D1	SLÁVA 	Bastian T.			
1900	PN	THEKLA 	Hesp Frank			
1900	SN	VALAKI 	Park F			
1899	PN	CONJUROR 	Kordacs A.			
1899	SN	EGLAMOUR 	Rosak Ulrich			
1899	PN	SAROLTA 	Williamson George			
1899	1	SLÁVA 	Buckenham Thomas H.			
1899	PN	VICTOR 	Hesp Frank			
1898	3	ARMER PETER	Hesp Frank			
1898	SN	CSÉKO 	Csompara M.			
1898	PN	GALAMB II	Barker H.			
1898	1	HANDY ANDY	Jekyll R.			
1898	2	LADY ANNE	Geoghegan Edward			
1898	SN	NEVERMIND 	Salter G.			
1897	3	CRACKSHOT 	Lehndorff S.			
1897	2	GALAMB II	Printen L.			
1897	PN	IRISH FENCER	Rosak Ulrich			
1897	1	MAGYARÁD 	Geoghegan Edward			
1897	SN	PYLADES 	Waclawiczek R.			
1897	PN	WUNDERDOCTOR 	Taxis E.			
1896	4	ANGOSTURA 	Brooke Butler			
1896	Z	COROMANDEL II	May J.			
1896	3	HANDY ANDY	Hampton E.			
1896	1	LADY ANNE	Geoghegan Edward			
1896	Z	LE HALO	Rosen Clarence			
1896	2	LE LUDE	Jones W.H.			
1896	Z	NÉPDAL 	Boorer J.			
1896	PN	PAMPERO 	Bell J.M.			
1896	Z	SILK SPIDER	Barker H.			
1896	Z	VENETIA 	Morton F.			
1896	PN	WALTER 	Williamson George			
1896	Z	WATERFORD 	Fletcher Richard Harry			
1895	PN	COEUR D´OR	Miles A.			
1895	2	COROMANDEL II	Jekyll R.			
1895	SN	CRACKSHOT 	May J.			
1895	PN	ESTRELLA 	Boorer J.			
1895	1	GALAMB II	Hall A.			
1895	4	LADY ANNE	Geoghegan Edward			
1895	3	MERRY GIRL	Printen L.			
1895	7	TOURIST 	Westlake John			
1895	5	VENETIA 	Wheeler H.			
1895	6	WOLF 	Salter G.			
1894	4	CSUFONDÁR 	Williamson George			
1894	Z	ESCLANDRE 	Hall A.			
1894	1	LADY ANNE	Geoghegan Edward			
1894	2	TOURIST 	Boorer J.			
1894	PN	TROUVILLE 	Appleton Peter			
1894	3	VENETIA 	Wheeler H.			
1893	PN	ALPHABET 	Westlake John			
1893	Z	COURAGE 	Wheeler H.			
1893	2	FUNNY FACE	Plüschke W.			
1893	1	HADNAGY 	Williamson George			
1893	PN	IGEN 	May J.			
1893	3	LADY ANNE	Hall A.			
1893	Z	VIOLETTA 	Geoghegan Edward			
1893	4	WOLF 	Fletcher Richard Harry			
1892	4	ALCES 	Tinsley E.			
1892	1	ALPHABET 	Westlake John			
1892	5	DON 	Planner C.			
1892	3	HADNAGY 	Williamson George			
1892	D2	LADY ANNE	Geoghegan Edward			
1892	2	THE SCREW	Hall A.			
1892	SN	VIGUIER 	Hostack J.			
1892	D1	WOLF 	Fletcher Richard Harry			
1891	Z	CLEMENTINE 	Westlake John			
1891	2	COUTE QUE COUTE	Planner C.			
1891	SN	HADNAGY 	Rossiter E.			
1891	1	LADY ANNE	Fletcher Richard Harry			
1891	3	WOLF 	Geoghegan Edward			
1890	1	ALPHABET 	Williamson George			
1890	PN	COUTE QUE COUTE	Planner C.			
1890	PN	GRANAT 	Geoghegan Edward			
1890	2	MONTBAR 	Fletcher Richard Harry			
1889	2	AMETHYST 	Geoghegan Edward			
1889	3	GOBANG 	Appleton Peter			
1889	PN	MANFRED 	Smith W.			
1889	1	PARISIS 	Fletcher Richard Harry			
1889	PN	PROPAGANDA 	Barker H.			
1889	SN	WICKLOW 	Smith W.			
1888	PN	ABRACADABRA 	Mitchell R			
1888	2	ARGONAUT 	Smith W.			
1888	1	ET CAETERA	Phillips M.			
1888	3	MANFRED 	Fletcher Richard Harry			
1888	Z	OLIVE BRANCH	Geoghegan Edward			
1887	Z	ABRACADABRA 	Phillips M.			
1887	SN	CAMPSFIELD 	Westlake John			
1887	2	LADY TEMPEST	Moore William H.			
1887	PN	SAIL 	Appleton Peter			
1887	3	WICKLOW 	Fletcher Richard Harry			
1887	1	WOODMAN 	Baltazzi Hector			
1886	PN	ATHEIST 	Baltazzi Hector			
1886	SN	COLUMBUS 	Ellis H.			
1886	2	FULL CRY	Smith W.			
1886	3	GOBANG 	Appleton Peter			
1886	1	HANNO 	Fletcher Richard Harry			
1886	SN	VALENTIN 	Ellis J.			
1885	1	ABRACADABRA 	Fries Hansi			
1885	4	AUTUMN 	Fletcher Richard Harry			
1885	5	JESSICA 	Moore William H.			
1885	PN	KAISER 	Ruse E.R.			
1885	2	NEWBROOK 	Phillips M.			
1885	3	OLIVE BRANCH	Baltazzi Hector			
1885	SN	THE RANGER	Planner C.			
1884	SN	GROCCOLO 	Fletcher Richard Harry			
1884	1	JESSICA 	Moore William H.			
1884	SN	NEEDLE 	Ellis J.			
1884	2	VICTORIA 	Baltazzi Hector			
1883	PN	BROADWAY SWELL	Twickel A.			
1883	PN	CURRAGH RANGER	Murray J.			
1883	3	KITTIWAKE 	Ellis J.			
1883	2	LAURENZIA 	Phillips M.			
1883	4	MISFIT OF DEVON	Fletcher Richard Harry			
1883	SN	NEEDLE 	Woodhouse A.			
1883	ZN	STATESMAN 	Johnstone			
1883	1	VICTORIA 	Baltazzi Hector			
1882	PN	BAKONY II	Fletcher Richard Harry			
1882	2	CITIZEN 	Moore William H.			
1882	SN	LAURENZIA 	Ellis J.			
1882	1	PER DAMPF	Harraway T.			
1882	4	TROMPETER 	Phillips M.			
1882	3	VESTA 	Thornton H.			
1881	PN	BROADWAY SWELL	Woodhouse A.			
1881	3	FLEURETTE 	Kinský Zdenko			
1881	2	TROMPETER 	Fletcher Richard Harry			
1881	1	VICTORIA 	Baltazzi Hector			
1880	PN	CREVE COEUR	Almássy C			
1880	1	GOOD MORNING	Phillips M.			
1880	SN	HERODES 	Woodhouse A			
1880	2	JUNO 	Kinský Zdenko			
1880	3	KLISNA 	Hanreich I.			
1880	4	STARLIGHT 	Fletcher Richard Harry			
1880	PN	VICTORIA 	Baltazzi Hector			
1879	2	CANTINE 	Szalay E.			
1879	3	PHRYGIA 	Phillips M			
1879	ZN	QUEEN BESS	Baltazzi Hector			
1879	1	RUDI 	Hanreich I.			
1878	1	BRIGAND 	Metternich Fritz			
1878	ZN	COUNTRY GIRL	Reynolds Jack			
1878	2	QUEEN BESS	Baltazzi Hector			
1878	3	TÁBORIT 	Phillips M.			
1878	PN	TROUVILLE 	Martin			
1877	1	BRIGAND 	Metternich Fritz			
1877	PN	COUNTRY GIRL	Herbert George			
1877	3	DIEPPE 	Sayers George			
1877	SN	HERODES 	Prior M.O.			
1877	4	HOPEFUL 	Söllinger R.			
1877	Z	HUBERTUS 	Reynolds Jack			
1877	PN	LIVERPOOL 	Fries Hansi			
1877	2	NACHTSCHWALBE 	Falkenhausen E.			
1877	SN	PEELER 	Phillips M.			
1877	Z	VIRÁGO 	Kinský E.			
1875	1	BRIGAND 	Herbert George			
1875	PN	COUNTRY GIRL	Deasy			
1875	2	GOLD STAR	Auersperg W.			
1875	3	IGNATZ 	Hanreich I.			
1875	PN	LADY BESS	Sayers George			
1875	PN	NACHTSCHWALBE 	Falkenhausen E.			
1875	5	NEVERMIND 	Milne H.			
1875	4	WINDSBRAUT 	Metternich Fritz			
1874	5	CAPRICE DE LISSA	Jombok M.			
1874	PN	CLEMENTINE 	Earl Walter			
1874	4	COSSACK 	Taylor			
1874	PN	DUCKWING 	 Kelly E.			
1874	2	FANTASCA 	Twiddy			
1874	1	FANTÔME 	Sayers George			
1874	PN	GARSOON 	Trayhorn			
1874	6	ISIS 	Herbert George			
1874	PN	LA VERZÉE	 Gough			
1874	PN	MILLE SCHNEIDER	 Fries Hansi			
1874	PN	SERGEANT BOUNCER	Appleton Peter			
1874	PN	STRIZZEL 	 Hanreich I.			
1874	Z	THE VET	" Prior M.O. _x000D_
"			
1874	3	YERMACK 	Sherrington A.			
